実施 する 	 じっし する
みなす 	 みなす
倹約 し て 	 けんやく し て
説明 し 	 せつめい し
頑張っ たら 	 がんばっ たら
暴か れる 	 あばか れる
使わ なく て 	 つかわ なく て
すむ ように 	 すむ ように
考慮 さ れ て 	 こうりょ さ れ て
設計 さ れ て 	 せっけい さ れ て
自己主張 し 	 じこしゅちょう し
手術 	 しゅじゅつ
壊れ て 	 こわれ て
戸惑う 	 とまどう
喘ぐ 	 あえぐ
かまわ ない 	 かまわ ない
注目 さ れる 	 ちゅうもく さ れる
倒さ なく て 	 たおさ なく て
腫れ上がっ 	 はれあがっ
入団 し 	 にゅうだん し
マッチ し ない 	 まっち し ない
パンク し ない 	 ぱんく し ない
替え て 	 かえ て
見上げ 	 みあげ
ぶら下がっ 	 ぶらさがっ
動く 様に 	 うごく ように
はせ て 	 はせ て
むき出し て 	 むきだし て
笑っ て 	 わらっ て
かぶっ た 	 かぶっ た
問い質し た そうだ 	 といただし た そうだ
受け流し た ようだ 	 うけながし た ようだ
意義付け さ れ 	 いぎづけ さ れ
公表 せ ず 	 こうひょう せ ず
待っ た そうです 	 まっ た そうです
満足 でき ます 	 まんぞく でき ます
できる かもしれ ない 	 できる かもしれ ない
い た ように 	 い た ように
見え まし た 	 みえ まし た
利用 出来る 	 りよう できる
はまっ て 	 はまっ て
ドキドキ し ます 	 どきどき し ます
生中継 し た 	 なまちゅうけい し た
寄付 する 	 きふ する
安定 し て 	 あんてい し て
発言 する 	 はつげん する
灼か れ て 	 しゃくか れ て
受け なかっ た 	 うけ なかっ た
採り 	 とり
告げ て 	 つげ て
輸入 さ れ た 	 ゆにゅう さ れ た
充て まし た 	 あて まし た
覚え た 	 おぼえ た
汲ん 	 くみん
広げる 	 ひろげる
下さい 	 ください
ずば抜け て 	 ずばぬけ て
優れる 	 すぐれる
脱し 	 だっし
はさん 	 はさん
解禁 さ れ て 	 かいきん さ れ て
編成 さ れ て 	 へんせい さ れ て
閉鎖 し て 	 へいさ し て
命名 さ れ て 	 めいめい さ れ て
受注 し た 	 じゅちゅう し た
回避 し 	 かいひ し
浮上 	 ふじょう
承認 し て 	 しょうにん し て
抜け た 	 ぬけ た
結集 さ せ た 	 けっしゅう さ せ た
推し 	 すいし
生産 さ れ なかっ た 	 せいさん さ れ なかっ た
受け付け ない 	 うけつけ ない
運び 	 はこび
搭載 	 とうさい
売り出さ れる 	 うりださ れる
売却 する 	 ばいきゃく する
いやさ れ まし た 	 いやさ れ まし た
確立 し 	 かくりつ し
転用 さ れ 	 てんよう さ れ
荒らす 	 あらす
煮やし 	 にやし
返す 	 かえす
返し て 	 かえし て
貰っ て 	 もらっ て
移り まし た 	 うつり まし た
写っ た 	 うつっ た
憑い て 	 うつい て
写し出し て 	 うつしだし て
宿泊 し ます 	 しゅくはく し ます
期待 し て 	 きたい し て
護送 さ れ 	 ごそう さ れ
接触 し 	 せっしょく し
切り取ら れ て 	 きりとら れ て
圧縮 でき ない ような 	 あっしゅく でき ない ような
通え 	 かよえ
証言 し まし た 	 しょうげん し まし た
関知 し て 	 かんち し て
受け付ける 	 うけつける
楽しみ です 	 たのしみ です
集中 	 しゅうちゅう
復帰 	 ふっき
打ち込む ように なっ た 	 うちこむ ように なっ た
乗り換え 	 のりかえ
組み立て た 	 くみたて た
度重なる 	 たびかさなる
振っ た 	 ふっ た
輝い た 	 かがやい た
口走る 	 くちばしる
言わ ざるを得 ませ ん 	 いわ ざるをえ ませ ん
追贈 さ れ 	 ついぞう さ れ
建て られ た 	 たて られ た
加盟 	 かめい
付け られる 	 つけ られる
解散 し た 	 かいさん し た
繰り広げ て 	 くりひろげ て
加入 し 	 かにゅう し
敗訴 	 はいそ
瞬殺 し た 	 またたきころ し た
注意 し て 	 ちゅうい し て
渡し 	 わたし
謝罪 	 しゃざい
ふまえ て 	 ふまえ て
デザイン し て 	 でざいん し て
工夫 さ れ て 	 くふう さ れ て
悩ん 	 なやん
披露 し て 	 ひろう し て
アクセス し た 	 あくせす し た
アクセス し て 	 あくせす し て
模し て 	 もし て
行なわ れ 	 おこなわ れ
かわる 	 かわる
求め られ 	 もとめ られ
導入 さ れ た 	 どうにゅう さ れ た
結成 さ れ 	 けっせい さ れ
節約 し たい 	 せつやく し たい
発散 する 	 はっさん する
篭る 	 こもる
名付け た 	 なづけ た
帰ら ない 	 かえら ない
可愛がら れ て 	 かわいがら れ て
偏っ て 	 かたよっ て
もてはやさ れ まし た 	 もてはやさ れ まし た
勧める 	 すすめる
配 れる 	 くば れる
総合 	 そうごう
驚い 	 おどろい
嫌がっ 	 いやがっ
ほめ て 	 ほめ て
わくわくし た 	 わくわくし た
引き立て て 	 ひきたて て
要望 し た 	 ようぼう し た
過ぎ て 	 すぎ て
推進 し 	 すいしん し
受け ます 	 うけ ます
刻む 	 きざむ
担わ せる 	 になわ せる
変更 し 	 へんこう し
配置 すれ 	 はいち すれ
配置 できる 	 はいち できる
節約 できる 	 せつやく できる
あわせ て 	 あわせ て
伴わ れ て 	 ともなわ れ て
なし た 	 なし た
埋め立て られ て 	 うめたて られ て
歩き やすい 	 あるき やすい
執筆 し て 	 しっぴつ し て
呼ば れ なかっ た 	 よば れ なかっ た
認定 さ れ た 	 にんてい さ れ た
運用 さ れ た 	 うんよう さ れ た
オープン し 	 おーぷん し
行わ れる ように なっ た 	 おこなわ れる ように なっ た
引越 し て 	 ひっこし し て
曲げ 	 まげ
くねら せ て 	 くねら せ て
表現 し て 	 ひょうげん し て
ご覧ください 	 ごらんください
敗退 	 はいたい
行け ない 	 いけ ない
致し まし た 	 いたし まし た
保っ て 	 たもっ て
伝え られ ず 	 つたえ られ ず
困っ て 	 こまっ て
作曲 し て 	 さっきょく し て
解放 さ れ 	 かいほう さ れ
成熟 し た 	 せいじゅく し た
認め られ た 	 みとめ られ た
込め て 	 こめ て
食べ た 	 たべ た
もらい 	 もらい
掲げ て 	 かかげ て
惹きつけ 	 ひきつけ
応戦 	 おうせん
勝 て た 	 か て た
改称 さ れ 	 かいしょう さ れ
多用 し た 	 たよう し た
分断 さ れ て 	 ぶんだん さ れ て
埋め られ た 	 うめ られ た
起用 し 	 きよう し
のたまっ て 	 のたまっ て
急落 し た 	 きゅうらく し た
増員 さ れ た 	 ぞういん さ れ た
脱退 し て 	 だったい し て
降っ て 	 ふっ て
濡れ て 	 ぬれ て
無くなり 	 なくなり
帰郷 する 	 ききょう する
打ち上げ 	 うちあげ
振動 し た 	 しんどう し た
みなさ れ た 	 みなさ れ た
殴り 	 なぐり
営ん 	 いとなん
仕切る 	 しきる
ウケる 	 うける
立ち寄る 	 たちよる
移設 し て 	 いせつ し て
い なく なる 	 い なく なる
列挙 できる 	 れっきょ できる
装備 し て 	 そうび し て
帰国 し 	 きこく し
就任 し 	 しゅうにん し
先発 	 せんぱつ
投げ 	 なげ
冷遇 さ れ て 	 れいぐう さ れ て
前進 し 	 ぜんしん し
率い 	 ひきい
跋扈 する 	 ばっこ する
送ら れ 	 おくら れ
育て られる 	 そだて られる
発見 	 はっけん
阻ま れ て 	 はばま れ て
空爆 さ れ た 	 くうばく さ れ た
許可 さ れ た 	 きょか さ れ た
採用 さ れ 	 さいよう さ れ
聴き 	 きき
懐かしむ ように 	 なつかしむ ように
ぶり 	 ぶり
かない まし た 	 かない まし た
脱会 し て 	 だっかい し て
否定 し て 	 ひてい し て
辞め て 	 やめ て
解読 さ れ た 	 かいどく さ れ た
推す 	 おす
食せ ます 	 しょくせ ます
し 続け て 	 し つづけ て
当たら ない 	 あたら ない
記し た 	 きし た
受け容れ られ なかっ た 	 うけいれ られ なかっ た
流れ ない 	 ながれ ない
該当 し て 	 がいとう し て
再訪 し た 	 さいほう し た
起動 し 	 きどう し
敗北 し 	 はいぼく し
封じ られ 	 ふうじ られ
果たす べく 	 はたす べく
送り 続け て 	 おくり つづけ て
遠慮 し た 	 えんりょ し た
提出 さ れ た 	 ていしゅつ さ れ た
からま れ て 	 からま れ て
酸化 し た 	 さんか し た
逸脱 し 過ぎ て 	 いつだつ し すぎ て
応援 し 	 おうえん し
手渡 し た 	 てわた し た
販売 でき なく なっ た 	 はんばい でき なく なっ た
行き詰まり 	 いきづまり
退任 	 たいにん
所属 さ せ られ て 	 しょぞく さ せ られ て
直結 し て 	 ちょっけつ し て
とる 	 とる
実践 し て 	 じっせん し て
広げ て 	 ひろげ て
倒れる 	 たおれる
削除 する 	 さくじょ する
改善 し まし た 	 かいぜん し まし た
壊れ 始め 	 こわれ はじめ
見 られ ず 	 み られ ず
接さ れ て 	 せっさ れ て
使い づめる 	 つかい づめる
消化 し た 	 しょうか し た
体現 し た 	 たいげん し た
解決 し 	 かいけつ し
確約 さ れ た 	 かくやく さ れ た
切り離し 	 きりはなし
動作 さ せる 	 どうさ さ せる
佩用 し て 	 はいよう し て
複合 し ない 	 ふくごう し ない
入り浸っ て 	 いりびたっ て
探せ 	 さがせ
びびら ず 	 びびら ず
話しかける 	 はなしかける
送ら れる 	 おくら れる
踏み出す 	 ふみだす
出店 する 	 しゅってん する
わかり まし た 	 わかり まし た
ある でしょ う 	 ある でしょ う
主張 し た 	 しゅちょう し た
見 込 める 	 み こ める
見極め た 	 みきわめ た
増やし たい 	 ふやし たい
はずす 	 はずす
控える 	 ひかえる
張っ た 	 はっ た
強化 さ れる 	 きょうか さ れる
突入 し 	 とつにゅう し
負傷 	 ふしょう
着く 	 つく
乗車 できる 	 じょうしゃ できる
眺め られる 	 ながめ られる
奪わ れ た 	 うばわ れ た
控え て 	 ひかえ て
すり替え て 	 すりかえ て
過密化 し た 	 かみつか し た
参列 し て 	 さんれつ し て
数える 	 かぞえる
選定 	 せんてい
対面 し た 	 たいめん し た
増え ます 	 ふえ ます
残り まし た 	 のこり まし た
先制 し た 	 せんせい し た
狙わ れ た 	 ねらわ れ た
飲 め ます 	 の め ます
出航 し 	 しゅっこう し
退役 	 たいえき
保管 さ れ た 	 ほかん さ れ た
合体 し なかっ た 	 がったい し なかっ た
阻害 し て 	 そがい し て
批判 さ れ た 	 ひはん さ れ た
重宝 し て 	 ちょうほう し て
受け継い 	 うけつい
恐れ た 	 おそれ た
ほのめかし た 	 ほのめかし た
やら ない そうだ 	 やら ない そうだ
借り 切っ て 	 かり きっ て
絶やさ ない 	 たやさ ない
指導 し て 	 しどう し て
分離 し た 	 ぶんり し た
独占 し やすい 	 どくせん し やすい
くぐり 	 くぐり
下りる 	 おりる
下げ られ た そうです 	 さげ られ た そうです
泊まり 	 とまり
カリカリ 	 かりかり
散見 さ れる 	 さんけん さ れる
計数 し 	 けいすう し
和解 し た 	 わかい し た
操縦 し 	 そうじゅう し
繰り広げ られ た 	 くりひろげ られ た
備え られ た 	 そなえ られ た
君臨 し て 	 くんりん し て
運航 する 	 うんこう する
昇格 し 	 しょうかく し
確認 さ れ た 	 かくにん さ れ た
更新 さ れる 	 こうしん さ れる
開業 する 	 かいぎょう する
栽培 できる 	 さいばい できる
会見 し 	 かいけん し
拘束 	 こうそく
運行 さ れる ように なっ て 	 うんこう さ れる ように なっ て
惹きつける 	 ひきつける
患い 	 かんい
改装 さ れ た 	 かいそう さ れ た
活用 さ れ た 	 かつよう さ れ た
反抗 する 	 はんこう する
亘る 	 わたる
取り組み 	 とりくみ
落ち着き ます 	 おちつき ます
アドバイス する 	 あどばいす する
通行 する 	 つうこう する
撃た れ て 	 うた れ て
説明 さ れる 	 せつめい さ れる
運航 し て 	 うんこう し て
紹介 出来る 	 しょうかい できる
隣り 	 となり
隣接 し た 	 りんせつ し た
共謀 し て 	 きょうぼう し て
こさ ん 	 こさ ん
貶める 	 おとしめる
